Número de Identificaçăo;CNPJ LIMPO;Razăo Social 
02.611.161/0001-47;2,61116E+12;FAVORITA DO BRASIL MARMORES E GRANITOS LTDA
39.336.716/0001-08;3,93367E+13;G DISTRIBUICAO E COMERCIO DE PRODUTOS LTDA
05.805.349/0001-14;5,80535E+12;AYKO TECNOLOGIA LTDA
39.272.778/0001-95;3,92728E+13;BLUEVIX COMERCIO E SERVICO LTDA
02.184.341/0002-70;2,18434E+12;OURO PRETO EXPLOSIVOS LTDA
39.785.589/0001-16;3,97856E+13;RAIO SOLDAS INSPECOES S/S
33.247.450/0001-32;3,32475E+13;FULL SERVICE ECOM COMERCIO E LOGISTICA LTDA
35.691.423/0001-80;3,56914E+13;GYP INDUSTRIA DE COSMETICOS LTDA
01.031.119/0001-94;1,03112E+12;BELA VISTA INDUSTRIA E COMERCIO DE PRE-MOLDADOS LTDA
03.597.050/0001-96;3,59705E+12;CENTRO DE ENSINO CACHOEIRENSE DARWIN LTDA
11.863.124/0001-17;1,18631E+13;BROTHERS MARMORES E GRANITOS LTDA
35.060.827/0001-75;3,50608E+13;LEVANTI MAQUINAS E FERRAMENTAS LTDA
35.957.760/0001-76;3,59578E+13;FORMASET INDUSTRIAL LTDA
07.550.459/0001-08;7,55046E+12;ORIONES DISTRIBUIDORA DE MATERIAL DE CONSTRUCAO LTDA
30.691.293/0001-61;3,06913E+13;UP LOG SOLUCOES EM ARMAZENS E LOGISTICA LTDA
07.567.242/0001-00;7,56724E+12;SERV-FOOD ALIMENTACAO E SERVICOS LTDA.
31.487.853/0001-23;3,14879E+13;TELAMBRADO INDUSTRIA E COMERCIO DE TELAS LTDA
05.125.726/0001-74;5,12573E+12;GELDEN EQUIPAMENTOS DE SEGURANCA LTDA
27.226.935/0001-47;2,72269E+13;POLYDOMUS- INDUSTRIA E COMERCIO DE EMBALAGENS LTDA
05.755.778/0001-24;5,75578E+12;R. VIEIRA - NEGOCIOS IMOBILIARIOS, RURAIS E URBANOS LTDA
09.471.676/0001-38;9,47168E+12;BRUMAN COMERCIO E SERVICOS DE MAQUINAS E EQUIPAMENTOS LTDA
05.534.501/0001-71;5,5345E+12;FOKUS BRASIL SINALIZACAO VIARIA LTDA
05.218.070/0001-34;5,21807E+12;ALPHADIGI BRASIL LTDA
01.542.005/0001-09;1,54201E+12;COMERCIAL COMAG LTDA
27.489.855/0001-84;2,74899E+13;SIDERAL INDUSTRIA E COMERCIO LTDA
58.763.053/0001-44;5,87631E+13;DINPAR-DISTRIBUIDORA NACIONAL DE PARAFUSOS E PECAS LTDA
07.799.121/0001-94;7,79912E+12;ADRIA BRASIL IMPORTACAO E EXPORTACAO LTDA
20.357.765/0001-90;2,03578E+13;GLOBALSYS IT SERVICES LTDA
39.811.708/0001-68;3,98117E+13;CURTUME SILVESTRE LTDA.
32.424.350/0001-71;3,24244E+13;CENTRAL DE AVIAMENTOS SAO PAULO LTDA
09.104.418/0001-13;9,10442E+12;VLA TELECOMUNICACOES LTDA
31.764.947/0001-00;3,17649E+13;GL TINTAS LTDA
33.249.391/0001-31;3,32494E+13;FULL SOLUTIONS COMERCIO EQUIPAMENTOS INDUSTRIAIS LTDA
33.672.362/0001-88;3,36724E+13;OPUS IMPORTACAO E COMERCIO DE EQUIPAMENTOS PARA MINERACAO LTDA
42.532.281/0001-73;4,25323E+13;ARAUCARIA SERVICOS LTDA
32.117.501/0001-49;3,21175E+13;AGUA AZUL ARTIGOS DE VESTUARIO LTDA
04.223.906/0001-26;4,22391E+12;SERRAFER SERRA FERRAMENTAS LTDA
34.647.606/0001-35;3,46476E+13;PRADO DISTRIBUIDORA DE UTILIDADE DOMESTICA LTDA
30.064.795/0001-62;3,00648E+13;CUSTOM BOX LTDA
27.185.211/0001-00;2,71852E+13;MUSSO & DO VALE LTDA
14.661.519/0001-25;1,46615E+13;LUF EMPREENDIMENTOS LTDA
07.057.918/0001-16;7,05792E+12;SIDERMETAL METALURGICA LTDA
15.386.439/0001-71;1,53864E+13;NUV REDE NEUTRA DE TELECOMUNICACOES LTDA
49.329.645/0001-61;4,93296E+13;BRIZZ VIX LTDA
31.791.726/0001-13;3,17917E+13;COMERCIAL LONDRINA LTDA
13.415.341/0001-70;1,34153E+13;TMT CONSTRUTORA LTDA
05.285.270/0001-00;5,28527E+12;OSI PARTICIPACOES LTDA
05.671.199/0001-01;5,6712E+12;HQUIMICA EQUIPAMENTOS E PRODUTOS QUIMICOS LTDA
05.595.540/0001-89;5,59554E+12;PARANA GRANITOS LTDA
28.140.177/0001-02;2,81402E+13;PARTNER COMERCIAL E IMPORTADORA LTDA
39.377.403/0001-90;3,93774E+13;MILANEZ & FALQUETO LTDA
57.887.103/0001-32;5,78871E+13;DRAGON ALVES ENGENHARIA LTDA
11.095.146/0001-84;1,10951E+13;LMS - LAST MILE SERVICES LTDA
04.935.064/0001-35;4,93506E+12;LR INDUSTRIA E COMERCIO LTDA
09.389.871/0001-13;9,38987E+12;GLOBALSYS SOLUCOES EMPRESARIAIS LTDA
50.599.076/0001-53;5,05991E+13;DARWIN CAPIXABA EDITORA LTDA
17.333.994/0001-60;1,7334E+13;OPT OPERACOES TELECOM LTDA
04.635.570/0001-09;4,63557E+12;PRE-MOLDADOS UNIDOS INDUSTRIA E COMERCIO LTDA
12.376.888/0001-40;1,23769E+13;CEGONHA TRANSPORTES E SERVICOS LTDA
34.232.956/0001-30;3,4233E+13;LOGFLOW LTDA
22.542.368/0001-14;2,25424E+13;VOE TELECOMUNICACOES LTDA
59.267.356/0001-39;5,92674E+13;ZENITH GESTAO EMPRESARIAL LTDA
03.725.445/0001-27;3,72545E+12;ENGENHARIA E CONSULTORIA VITORIA LTDA
16.760.366/0001-18;1,67604E+13;
13.257.776/0001-33;1,32578E+13;FORMASET PROMOCIONAIS COMERCIO E INDUSTRIA LTDA
14.877.030/0001-95;1,4877E+13;L & L SERVICOS CONTABEIS LTDA
35.072.477/0001-67;3,50725E+13;FSA REFEICOES LTDA
32.401.481/0001-33;3,24015E+13;CENTRAL CONTABIL LTDA
50.116.869/0001-74;5,01169E+13;RESTAURANTE SALSA LTDA
41.424.561/0001-03;4,14246E+13;ILHA DAS FERRAMENTAS COMERCIO VAREJISTA LTDA
13.792.474/0001-65;1,37925E+13;OPEX TRANSPORTES LTDA
11.318.082/0001-33;1,13181E+13;ACAI BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA
07.720.801/0001-70;7,7208E+12;KNOW HOW IDIOMAS LTDA
27.709.140/0001-90;2,77091E+13;MNC COMERCIO ELETRONICO LTDA
37.297.680/0001-67;3,72977E+13;VIXSELL COMERCIO E SERVICO LTDA
33.023.240/0001-60;3,30232E+13;C A PARTICIPACOES E INVESTIMENTOS LTDA
03.531.331/0001-46;3,53133E+12;CENTER AVIAMENTOS LTDA
49.413.110/0001-64;4,94131E+13;
10.471.800/0001-44;1,04718E+13;GUZZO PARAFUSOS LTDA
48.884.083/0001-55;4,88841E+13;RAF SERVICOS LTDA
37.092.170/0001-53;3,70922E+13;ELETRO MAQUINAS ATACADISTA LTDA
09.261.356/0001-53;9,26136E+12;RV INDUSTRIA E COMERCIO LTDA ME
31.042.305/0001-90;3,10423E+13;COSTALOG TRANSPORTES LTDA
29.948.844/0001-40;2,99488E+13;LORENA GASPARINO LTDA
46.528.859/0001-79;4,65289E+13;PALACE PARTICIPACOES LTDA
55.675.547/0001-89;5,56755E+13;BRILUZ.ON COMERCIO LTDA
36.045.136/0001-65;3,60451E+13;AMPIB ASSOCIACAO DOS MORADORES E PROPRIETARIOS DA ILHA DO BOI
23.234.705/0001-79;2,32347E+13;POWER PRINT COMERCIO E SERVICOS LTDA
24.127.096/0001-11;2,41271E+13;PANIFICADORA MR. BREAD LTDA
36.578.434/0001-10;3,65784E+13;ARAME NOBRE INDUSTRIA E COMERCIO LTDA
28.397.677/0001-24;2,83977E+13;SEBASTIAO PEDRO DE FREITAS
21.572.757/0001-20;2,15728E+13;TELABRASIL INDUSTRIA E COMERCIO LTDA
37.093.638/0001-24;3,70936E+13;GERING CLIMATIZACOES LTDA
13.841.087/0001-71;1,38411E+13;METALTELAS INDUSTRIA LTDA
10.203.600/0001-00;1,02036E+13;LANGUAGE IDIOMAS LTDA
24.203.997/0001-45;2,4204E+13;ZORZAL GESTAO E TECNOLOGIA LTDA
11.999.030/0001-07;1,1999E+13;
36.130.310/0001-78;3,61303E+13;ATIVE MEDICAMENTOS ESPECIAIS LTDA
47.306.185/0001-20;4,73062E+13;AJ PORT CONSULTORIA LTDA
35.972.470/0001-00;3,59725E+13;ROTSEN COMERCIO DE COUROS E PLASTICOS LTDA
16.858.996/0001-00;1,6859E+13;FRANCA COMERCIO DE TECIDOS E CONFECCOES LTDA
42.081.159/0001-28;4,20812E+13;A G A P LTDA
38.711.960/0001-32;3,8712E+13;HOUSE027 INNOVATIVE TECHNOLOGY LTDA
08.248.961/0001-21;8,24896E+12;LEAO SCHMIDT CURSOS DE IDIOMAS LTDA
30.393.954/0001-72;3,0394E+13;WP COMPANY COMERCIO E SERVICOS TECNOLOGIA LTDA
36.082.397/0001-55;3,60824E+13;NY RESTAURANTES LTDA
00.212.745/0001-14;2,12745E+11;COMERCIAL LUF LTDA
01.561.647/0001-55;1,56165E+12;MAQUIL MAQUINAS E FERRAMENTAS LTDA
10.198.105/0001-50;1,01981E+13;MUNDI IDIOMAS LTDA
39.338.934/0001-73;3,93389E+13;PAES ERLACHER ENGENHARIA LTDA
41.496.504/0001-21;4,14965E+13;DLM SERVICOS LTDA
23.361.130/0001-55;2,33611E+13;PREMIUM IDIOMAS LTDA
52.945.020/0001-39;5,2945E+13;VIX INDUSTRIA E COMERCIO DE EMBALAGENS LTDA
28.392.018/0001-03;2,8392E+13;LM TINTAS LTDA
22.180.979/0001-60;2,2181E+13;CLOSET COLLECTION CONFECCOES LTDA
07.615.692/0001-21;7,61569E+12;BR MAQUIL DISTRIBUIDORA DE MAQUINAS E FERRAMENTAS LTDA
17.657.781/0001-94;1,76578E+13;SODRE REBOUCAS - ADVOCACIA
35.112.700/0001-52;3,51127E+13;FAZENDA BOA SORTE COMERCIO DE TECIDOS LTDA
27.363.015/0001-70;2,7363E+13;LMA COMERCIO LTDA
14.103.512/0001-98;1,41035E+13;SEA IDIOMAS LTDA
33.024.708/0001-31;3,30247E+13;MEMA ACESSORIOS E BIJUTERIAS LTDA
59.160.869/0001-46;5,91609E+13;AURORA INFORMATICA COMERCIO IMPORTACAO E EXPORTACAO LTDA
59.000.165/0001-06;5,90002E+13;PRIMETEK LTDA
35.994.425/0001-48;3,59944E+13;BORSOINETTO COMERCIO DE ARTEFATOS EM METAL LTDA
44.490.805/0001-36;4,44908E+13;THG COMERCIO E DISTRIBUICAO DE ELETRONICOS E ELETRODOMESTICOS LTDA
33.902.626/0001-42;3,39026E+13;MAXPARTNER OUTSOURCING E SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA
50.960.727/0001-99;5,09607E+13;K&K IDIOMAS LTDA
55.402.354/0001-54;5,54024E+13;PREST SERV EMPREENDIMENTOS E PARTICIPACOES LTDA
04.963.860/0001-81;4,96386E+12;ASSOCIACAO NACIONAL DO MINISTERIO PUBLICO DO CONSUMIDOR
10.788.657/0003-80;1,07887E+13;MARCIA SANTOS
56.158.080/0001-62;5,61581E+13;LINHARES EPI LTDA
27.595.401/0001-65;2,75954E+13;
22.796.449/0001-40;2,27964E+13;PEREIRA & AVILA ADVOGADOS ASSOCIADOS
31.558.431/0001-00;3,15584E+13;SALUD COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS E DESCARTAVEIS LTDA
31.332.375/0001-82;3,13324E+13;ATENTO . GESTAO EM RISCOS E PRODUTIVIDADE LTDA
29.236.102/0001-92;2,92361E+13;PARIS, GUERZET E AZEVEDO ADVOGADOS
04.659.927/0001-99;4,65993E+12;INDUSTRIA E COMERCIO DE AGUARDENTE SANTA BARBARA LTDA
42.569.379/0001-03;4,25694E+13;3 FIT ALIMENTACAO SAUDAVEL LTDA
41.697.567/0001-46;4,16976E+13;BOX 027 VAREJO DIGITAL LTDA
50.485.794/0001-07;5,04858E+13;LUIGI SERRA DOURADA 2 LTDA
42.597.144/0001-17;4,25971E+13;PLL COMERCIO LTDA
47.420.673/0001-64;4,74207E+13;DOCE DOCE COMO MEL SORVETES LTDA
32.663.680/0001-10;3,26637E+13;SOMA SERVICOS ADMINISTRATIVOS LTDA
39.717.546/0001-01;3,97175E+13;VACCIN EXPRESS DISTRIBUIDORA DE VACINAS E MEDICAMENTOS LTDA
39.311.386/0001-98;3,93114E+13;KERNEL IMPORTACAO E EXPORTACAO LTDA
17.250.123/0001-83;1,72501E+13;L GERING ELETRICA E AR CONDICIONADO
13.785.672/0001-00;1,37857E+13;SIFRA CONSULTORIA E REPRESENTACAO LTDA
34.263.516/0001-40;3,42635E+13;ZAD COMUNICA LTDA
07.790.078/0001-04;7,79008E+12;BLR REPRESENTACOES LTDA
39.226.300/0001-30;3,92263E+13;
49.994.344/0001-52;4,99943E+13;JR ATACADO DE ACESSORIOS LTDA
42.452.781/0001-03;4,24528E+13;LALA KIDS ALUGUEL E VENDA DE PRODUTOS INFANTIS LTDA
32.747.025/0001-40;3,2747E+13;COMUNICA ES LTDA
21.706.378/0001-85;2,17064E+13;CENTRO VETERINARIO LUA & FREDDO LTDA
56.938.284/0001-16;5,69383E+13;JULIA MUNHAO LTDA
40.142.610/0001-44;4,01426E+13;RIZZO COMERCIO DE ROUPAS E ACESSORIOS DE PESCA LTDA
27.094.242/0001-48;2,70942E+13;MTZ EMPREENDIMENTOS LTDA
21.181.115/0001-08;2,11811E+13;SELF TECNOLOGIA COMERCIO E SERVICOS LTDA
07.452.963/0001-75;7,45296E+12;ZORZAL TECNOLOGIA E GESTAO LTDA
03.395.868/0001-26;3,39587E+12;HIDROQUIMICA TRATAMENTO DE AGUA LTDA
27.930.220/0001-70;2,79302E+13;RECICLABEM METAIS LTDA
59.161.203/0001-02;5,91612E+13;HEBROM HOLDING E PARTICIPACOES LTDA
58.277.834/0001-29;5,82778E+13;CEMA HOLDING E PARTICIPACOES LTDA
58.071.976/0001-35;5,8072E+13;LIDERANCA HOLDING E PARTICIPACOES LTDA
58.050.244/0001-69;5,80502E+13;FRATTA HOLDING E PARTICIPACOES LTDA
48.852.213/0001-78;4,88522E+13;AGUA AZUL DIGITAL LTDA
48.093.989/0001-51;4,8094E+13;LETFER MAQUINAS E FERRAMENTAS LTDA
43.556.334/0001-59;4,35563E+13;ON SERVICOS DE INTERNET TELECON LTDA
40.891.182/0001-52;4,08912E+13;BRUCON CONSTRUCAO COMERCIO VAREJISTA DE MATERIAL DE CONSTRUCAO LTDA
09.382.770/0001-10;9,38277E+12;BRASIL TRONIC COMERCIO DE ELETRO ELETRONICOS LTDA
08.275.160/0001-55;8,27516E+12;GYP COMERCIO ATACADISTA DE COSMETICOS LTDA
10.999.030/0001-07;1,0999E+13;LUCIENE TECIDOS CONFECCOES LTDA
07.717.774/0001-87;7,71777E+12;ACITEL TELECOMUNICACOES LTDA
16.750.366/0001-18;1,67504E+13;TRANSEGURO ES CORRETORA DE SEGUROS LTDA
26.980.450/0001-81;2,69805E+13;AUTO POSTO VITORIA COMERCIO DE COMBUSTIVEIS LTDA
27.595.407/0001-65;2,75954E+13;GS VIEIRA ADMINISTRACAO DE IMOVEIS LTDA
39.226.309/0001-30;3,92263E+13;FABERLOVE LTDA
49.413.110/0001-74;4,94131E+13;SOMAR EMPREENDIMENTOS LTDA
62.771.089/0001-47;6,27711E+13;VITAVET-ES DISTRIBUIDORA LTDA
61.215.139/0001-47;6,12151E+13;VIX LONAS LTDA
36.243.022/0001-20;3,6243E+13;V. L. B. SERVICOS MEDICOS LTDA
26.270.543/0001-12;2,62705E+13;M5 GESTAO LTDA
43.340.265/0001-41;4,33403E+13;ACBL INFORMACOES LTDA
46.729.895/0001-09;4,67299E+13;VR2 PRINT SOLUTIONS LTDA
46.290.337/0001-81;4,62903E+13;OCEANA HOLDING PATRIMONIAL LTDA
51.888.058/0001-54;5,18881E+13;N J W DUNFORD CONSULTORIA
55.371.144/0001-46;5,53711E+13;H PASSOS LTDA
58.458.127/0001-39;5,84581E+13;BRIZZ BAR LTDA
59.580.750/0001-22;5,95808E+13;ZENA LRF TRADING LTDA
